align,choice,time,coherence,firing_rate
dots,T1,500,0.0,48.425371544499995
dots,T1,500,3.2,49.8924509929
dots,T1,500,6.4,56.3159583107
dots,T1,500,12.8,57.883434193599996
dots,T1,520,0.0,49.848360050699995
dots,T1,520,3.2,49.395357585
dots,T1,520,6.4,55.6257450533
dots,T1,520,12.8,56.7031475447
dots,T1,540,0.0,51.4958439254
dots,T1,540,3.2,48.066627973
dots,T1,540,6.4,52.6625406001
dots,T1,540,12.8,56.5965566665
dots,T1,560,0.0,53.8839724539
dots,T1,560,3.2,48.6514774419
dots,T1,560,6.4,51.2677935943
dots,T1,560,12.8,57.445851859899996
dots,T1,580,0.0,53.0430826028
dots,T1,580,3.2,50.928916973
dots,T1,580,6.4,55.3879064133
dots,T1,600,0.0,52.10631467939999
dots,T1,600,3.2,50.46099486560001
dots,T1,600,6.4,58.3763412771
dots,T1,620,0.0,51.9722589882
dots,T1,620,3.2,49.607246394200004
dots,T1,620,6.4,58.4313296726
dots,T1,640,0.0,51.494685000699995
dots,T1,640,3.2,53.718323400600006
dots,T1,660,0.0,51.3666266822
dots,T1,660,3.2,56.9613202683
dots,T1,680,0.0,52.674047612200006
dots,T1,680,3.2,57.0799478842
dots,T1,700,0.0,52.6806817764
dots,T1,720,0.0,51.299586053
dots,T2,-80,0.0,34.970107262199996
dots,T2,-80,3.2,36.7858148044
dots,T2,-80,6.4,34.478505990100004
dots,T2,-80,12.8,34.9914236707
dots,T2,-80,25.6,32.241532976799995
dots,T2,-80,51.2,32.633016208600004
dots,T2,-60,0.0,33.8491295938
dots,T2,-60,3.2,35.6811145511
dots,T2,-60,6.4,35.5943152455
dots,T2,-60,12.8,33.2285115304
dots,T2,-60,25.6,34.0196078431
dots,T2,-60,51.2,33.8662790698
dots,T2,-40,0.0,35.2030947776
dots,T2,-40,3.2,35.526315789499996
dots,T2,-40,6.4,35.012919896599996
dots,T2,-40,12.8,34.9056603774
dots,T2,-40,25.6,34.7058823529
dots,T2,-40,51.2,33.0910852713
dots,T2,-20,0.0,35.1063829787
dots,T2,-20,3.2,34.9845201238
dots,T2,-20,6.4,36.369509043899996
dots,T2,-20,12.8,36.320754717
dots,T2,-20,25.6,34.8529411765
dots,T2,-20,51.2,35.3197674419
dots,T2,0,0.0,34.1392649903
dots,T2,0,3.2,36.145510835900005
dots,T2,0,6.4,37.8552971576
dots,T2,0,12.8,36.0062893082
dots,T2,0,25.6,34.411764705900005
dots,T2,0,51.2,35.6104651163
dots,T2,20,0.0,35.9767891683
dots,T2,20,3.2,38.3900928793
dots,T2,20,6.4,36.950904392800005
dots,T2,20,12.8,36.8972746331
dots,T2,20,25.6,34.362745098000005
dots,T2,20,51.2,33.817829457399995
dots,T2,40,0.0,36.3636363636
dots,T2,40,3.2,40.4024767802
dots,T2,40,6.4,35.9819121447
dots,T2,40,12.8,37.8406708595
dots,T2,40,25.6,35.9803921569
dots,T2,40,51.2,36.1918604651
dots,T2,60,0.0,34.719535783400005
dots,T2,60,3.2,37.4613003096
dots,T2,60,6.4,35.4005167959
dots,T2,60,12.8,37.0545073375
dots,T2,60,25.6,35.8823529412
dots,T2,60,51.2,37.8391472868
dots,T2,80,0.0,35.3965183752
dots,T2,80,3.2,34.055727554200004
dots,T2,80,6.4,33.5917312661
dots,T2,80,12.8,36.0062893082
dots,T2,80,25.6,35.3431372549
dots,T2,80,51.2,35.6589147287
dots,T2,100,0.0,31.866537717600004
dots,T2,100,3.2,33.2817337461
dots,T2,100,6.4,31.395348837199997
dots,T2,100,12.8,33.3333333333
dots,T2,100,25.6,33.676470588200004
dots,T2,100,51.2,32.6550387597
dots,T2,120,0.0,29.6905222437
dots,T2,120,3.2,32.1207430341
dots,T2,120,6.4,30.9492892804
dots,T2,120,12.8,30.5063756889
dots,T2,120,25.6,31.2745098039
dots,T2,120,51.2,30.6686046512
dots,T2,140,0.0,31.5280464217
dots,T2,140,3.2,30.572755418000003
dots,T2,140,6.4,32.4888754083
dots,T2,140,12.8,30.6956495116
dots,T2,140,25.6,31.3725490196
dots,T2,140,51.2,31.408468545500003
dots,T2,160,0.0,33.4622823985
dots,T2,160,3.2,31.9399161621
dots,T2,160,6.4,34.1883327301
dots,T2,160,12.8,33.4109778842
dots,T2,160,25.6,33.030346943699996
dots,T2,160,51.2,33.436735736399996
dots,T2,180,0.0,38.2070547501
dots,T2,180,3.2,37.8712163752
dots,T2,180,6.4,38.5042012826
dots,T2,180,12.8,38.4719004777
dots,T2,180,25.6,37.077530143800004
dots,T2,180,51.2,38.2633844689
dots,T2,200,0.0,42.7578085722
dots,T2,200,3.2,42.2897196262
dots,T2,200,6.4,42.9949986829
dots,T2,200,12.8,41.5088392695
dots,T2,200,25.6,41.817644445300004
dots,T2,200,51.2,43.1074684774
dots,T2,220,0.0,44.590938900299996
dots,T2,220,3.2,45.341717746099995
dots,T2,220,6.4,45.400059348599996
dots,T2,220,12.8,41.8565530425
dots,T2,220,25.6,42.4234549444
dots,T2,220,51.2,40.6228763776
dots,T2,240,0.0,43.3291259446
dots,T2,240,3.2,45.5698126733
dots,T2,240,6.4,46.0860105176
dots,T2,240,12.8,41.9135577374
dots,T2,240,25.6,39.0738361103
dots,T2,240,51.2,37.4852335411
dots,T2,260,0.0,43.313222510600006
dots,T2,260,3.2,43.3325723491
dots,T2,260,6.4,43.3791616022
dots,T2,260,12.8,41.9109630979
dots,T2,260,25.6,37.912397605
dots,T2,260,51.2,36.7127196352
dots,T2,280,0.0,44.035100589399995
dots,T2,280,3.2,40.7781018409
dots,T2,280,6.4,42.3074505091
dots,T2,280,12.8,38.8754812498
dots,T2,280,25.6,38.1344925275
dots,T2,280,51.2,35.980800364699995
dots,T2,300,0.0,42.998500936199996
dots,T2,300,3.2,40.629335540300005
dots,T2,300,6.4,42.5742920171
dots,T2,300,12.8,37.7958539325
dots,T2,300,25.6,36.2919354435
dots,T2,300,51.2,34.1760123767
dots,T2,320,0.0,39.8459992058
dots,T2,320,3.2,38.6301686727
dots,T2,320,6.4,41.2207626677
dots,T2,320,12.8,35.5155038833
dots,T2,320,25.6,33.6229546792
dots,T2,320,51.2,33.7686320342
dots,T2,340,0.0,38.294630264
dots,T2,340,3.2,39.235953990700004
dots,T2,340,6.4,41.525581798699996
dots,T2,340,12.8,34.3093086994
dots,T2,340,25.6,31.1869789361
dots,T2,360,0.0,38.7832089442
dots,T2,360,3.2,40.5201660452
dots,T2,360,6.4,40.2438173059
dots,T2,360,12.8,37.3473010589
dots,T2,360,25.6,30.9096204221
dots,T2,380,0.0,37.7037571598
dots,T2,380,3.2,37.8557504873
dots,T2,380,6.4,38.1466711944
dots,T2,380,12.8,36.4564971115
dots,T2,380,25.6,30.426456335100003
dots,T2,400,0.0,39.742881112
dots,T2,400,3.2,37.7696727599
dots,T2,400,6.4,37.282919343
dots,T2,400,12.8,36.5347678542
dots,T2,400,25.6,27.8518122463
dots,T2,420,0.0,41.3684007973
dots,T2,420,3.2,38.8926908711
dots,T2,420,6.4,36.7202937136
dots,T2,420,12.8,35.1082370207
dots,T2,420,25.6,27.861418733
dots,T2,440,0.0,40.6496445189
dots,T2,440,3.2,39.9098650911
dots,T2,440,6.4,38.0156523023
dots,T2,440,12.8,35.2694954062
dots,T2,440,25.6,29.81667219
dots,T2,460,0.0,42.7507271759
dots,T2,460,3.2,39.685215586700004
dots,T2,460,6.4,38.520175851
dots,T2,460,12.8,36.5036817188
dots,T2,480,0.0,41.6795939186
dots,T2,480,3.2,38.274654185500005
dots,T2,480,6.4,38.0980698037
dots,T2,480,12.8,34.0660031252
dots,T2,500,0.0,38.076236798400004
dots,T2,500,3.2,38.7038940633
dots,T2,500,6.4,39.399412391
dots,T2,500,12.8,36.6778056607
dots,T2,520,0.0,40.302038725100005
dots,T2,520,3.2,38.768191293
dots,T2,520,6.4,37.140277854299995
dots,T2,520,12.8,36.8786473739
dots,T2,540,0.0,41.3666539656
dots,T2,540,3.2,37.1782371295
dots,T2,540,6.4,35.8263885332
dots,T2,540,12.8,33.7657325009
dots,T2,560,0.0,42.1411371631
dots,T2,560,3.2,39.4878074198
dots,T2,560,6.4,36.8214417656
dots,T2,560,12.8,33.73267699
dots,T2,580,0.0,40.6285403536
dots,T2,580,3.2,41.238454808600004
dots,T2,580,6.4,36.1422793814
dots,T2,600,0.0,38.626129285
dots,T2,600,3.2,38.9859711621
dots,T2,600,6.4,36.4593012697
dots,T2,620,0.0,41.6313731495
dots,T2,620,3.2,40.994116270300005
dots,T2,620,6.4,35.3408471901
dots,T2,640,0.0,41.3093764734
dots,T2,640,3.2,42.9420765936
dots,T2,640,6.4,37.852326437100004
dots,T2,660,0.0,40.65999957
dots,T2,660,3.2,39.3419135381
dots,T2,680,0.0,42.454915858
dots,T2,680,3.2,37.8062672369
dots,T2,700,0.0,43.464958851400006
dots,T2,700,3.2,38.994559118000005
dots,T2,720,0.0,41.9871213179
dots,T2,720,3.2,41.7160565573
sacc,T1,-600,0.0,45.232512037700005
sacc,T1,-580,0.0,45.4264028997
sacc,T1,-560,0.0,43.071646612600006
sacc,T1,-560,3.2,44.6334707376
sacc,T1,-540,0.0,45.4794313401
sacc,T1,-540,3.2,44.215070501599996
sacc,T1,-520,0.0,45.506553528999994
sacc,T1,-520,3.2,45.648332538599995
sacc,T1,-500,0.0,45.415150286099994
sacc,T1,-500,3.2,45.924104364799994
sacc,T1,-500,6.4,50.0619965618
sacc,T1,-480,0.0,48.160760903
sacc,T1,-480,3.2,45.7282215546
sacc,T1,-480,6.4,49.6277218935
sacc,T1,-460,0.0,46.393794388100005
sacc,T1,-460,3.2,47.06353638
sacc,T1,-460,6.4,51.0213340154
sacc,T1,-440,0.0,43.5141711801
sacc,T1,-440,3.2,47.613106782399996
sacc,T1,-440,6.4,48.7946689049
sacc,T1,-440,12.8,49.603478703
sacc,T1,-420,0.0,45.6403332059
sacc,T1,-420,3.2,48.9830083705
sacc,T1,-420,6.4,51.032380913699996
sacc,T1,-420,12.8,51.9676391845
sacc,T1,-400,0.0,48.8318863322
sacc,T1,-400,3.2,47.171291067
sacc,T1,-400,6.4,52.5509987955
sacc,T1,-400,12.8,51.7947628697
sacc,T1,-380,0.0,50.8980590583
sacc,T1,-380,3.2,48.9092059523
sacc,T1,-380,6.4,48.84741133479999
sacc,T1,-380,12.8,52.0292508296
sacc,T1,-360,0.0,51.206758601400004
sacc,T1,-360,3.2,50.28403838609999
sacc,T1,-360,6.4,50.145345275
sacc,T1,-360,12.8,53.2630051358
sacc,T1,-340,0.0,50.2800233932
sacc,T1,-340,3.2,50.01204546939999
sacc,T1,-340,6.4,52.2716382085
sacc,T1,-340,12.8,53.077833581099995
sacc,T1,-320,0.0,49.408670995600005
sacc,T1,-320,3.2,51.7156662265
sacc,T1,-320,6.4,53.0425605954
sacc,T1,-320,12.8,53.467358689799994
sacc,T1,-300,0.0,49.1203942708
sacc,T1,-300,3.2,49.418248136
sacc,T1,-300,6.4,54.0102823529
sacc,T1,-300,12.8,54.6096601316
sacc,T1,-300,25.6,54.1875464625
sacc,T1,-280,0.0,51.6971579109
sacc,T1,-280,3.2,51.0207341541
sacc,T1,-280,6.4,55.7411082083
sacc,T1,-280,12.8,53.27765730229999
sacc,T1,-280,25.6,54.506430688100004
sacc,T1,-260,0.0,52.6379444601
sacc,T1,-260,3.2,52.6249011151
sacc,T1,-260,6.4,56.567696028
sacc,T1,-260,12.8,53.945858687
sacc,T1,-260,25.6,55.0692362824
sacc,T1,-240,0.0,51.2549672581
sacc,T1,-240,3.2,52.586512194300006
sacc,T1,-240,6.4,53.8916036035
sacc,T1,-240,12.8,55.866551389399994
sacc,T1,-240,25.6,54.066005678900005
sacc,T1,-220,0.0,50.5983703221
sacc,T1,-220,3.2,51.4625155232
sacc,T1,-220,6.4,54.3207205125
sacc,T1,-220,12.8,55.910711191400004
sacc,T1,-220,25.6,53.4235227174
sacc,T1,-200,0.0,54.096988725699994
sacc,T1,-200,3.2,52.8902388815
sacc,T1,-200,6.4,57.265885535200006
sacc,T1,-200,12.8,55.851347333599996
sacc,T1,-200,25.6,54.30218802
sacc,T1,-180,0.0,56.0836482647
sacc,T1,-180,3.2,54.6633426001
sacc,T1,-180,6.4,56.5684880076
sacc,T1,-180,12.8,57.013894898500006
sacc,T1,-180,25.6,56.7413467363
sacc,T1,-160,0.0,55.3505702695
sacc,T1,-160,3.2,53.827233112799995
sacc,T1,-160,6.4,56.7240292283
sacc,T1,-160,12.8,58.119315878900004
sacc,T1,-160,25.6,58.6021829868
sacc,T1,-160,51.2,54.8967997613
sacc,T1,-140,0.0,57.1593256173
sacc,T1,-140,3.2,56.5769900664
sacc,T1,-140,6.4,56.754550242600004
sacc,T1,-140,12.8,59.1831621625
sacc,T1,-140,25.6,58.792326723500004
sacc,T1,-140,51.2,57.821456975100006
sacc,T1,-120,0.0,58.53308329
sacc,T1,-120,3.2,59.1191539695
sacc,T1,-120,6.4,58.9815430655
sacc,T1,-120,12.8,61.355781086899995
sacc,T1,-120,25.6,59.4419114489
sacc,T1,-120,51.2,59.68956933689999
sacc,T1,-100,0.0,59.4948613645
sacc,T1,-100,3.2,62.7954637729
sacc,T1,-100,6.4,62.486324002799996
sacc,T1,-100,12.8,62.6925464066
sacc,T1,-100,25.6,59.4754759182
sacc,T1,-100,51.2,59.1229508662
sacc,T1,-80,0.0,62.1398334413
sacc,T1,-80,3.2,63.6967779056
sacc,T1,-80,6.4,63.680394911099995
sacc,T1,-80,12.8,63.79750625649999
sacc,T1,-80,25.6,60.746123495
sacc,T1,-80,51.2,61.6545577621
sacc,T1,-60,0.0,63.9918381337
sacc,T1,-60,3.2,64.0885489132
sacc,T1,-60,6.4,65.9275648059
sacc,T1,-60,12.8,64.4531213517
sacc,T1,-60,25.6,65.0785915901
sacc,T1,-60,51.2,62.7558667307
sacc,T1,-40,0.0,65.9860557769
sacc,T1,-40,3.2,66.4632254083
sacc,T1,-40,6.4,67.78728606359999
sacc,T1,-40,12.8,67.6494487948
sacc,T1,-40,25.6,67.4806695911
sacc,T1,-40,51.2,66.6127927521
sacc,T1,-20,0.0,68.37649402390001
sacc,T1,-20,3.2,66.8195604614
sacc,T1,-20,6.4,68.27628361859999
sacc,T1,-20,12.8,69.8335976272
sacc,T1,-20,25.6,69.2759295499
sacc,T1,-20,51.2,69.2525512899
sacc,T1,0,0.0,67.67928286850001
sacc,T1,0,3.2,66.443452381
sacc,T1,0,6.4,70.0488997555
sacc,T1,0,12.8,68.1668870183
sacc,T1,0,25.6,69.56947162430001
sacc,T1,0,51.2,67.87109375
sacc,T1,20,0.0,63.8446215139
sacc,T1,20,3.2,65.0297619048
sacc,T1,20,6.4,66.9926650367
sacc,T1,20,12.8,62.6236601367
sacc,T1,20,25.6,66.24266144810001
sacc,T1,20,51.2,66.455078125
sacc,T1,40,0.0,60.3585657371
sacc,T1,40,3.2,60.19345238100001
sacc,T1,40,6.4,58.5574572127
sacc,T1,40,12.8,59.002057613199995
sacc,T1,40,25.6,62.084148728
sacc,T1,40,51.2,62.939453125
sacc,T1,60,0.0,53.237051792799996
sacc,T1,60,3.2,51.2648809524
sacc,T1,60,6.4,51.95599022
sacc,T1,60,12.8,52.314814814799995
sacc,T1,60,25.6,52.8375733855
sacc,T1,60,51.2,53.61328125
sacc,T1,80,0.0,44.372509960200006
sacc,T1,80,3.2,43.75
sacc,T1,80,6.4,45.232273838599994
sacc,T1,80,12.8,42.0781893004
sacc,T1,80,25.6,44.373776908
sacc,T1,80,51.2,44.677734375
sacc,T1,100,0.0,37.5996015936
sacc,T1,100,3.2,38.244047619
sacc,T1,100,6.4,37.163814180900005
sacc,T1,100,12.8,36.1111111111
sacc,T1,100,25.6,37.915851272
sacc,T1,100,51.2,37.744140625
sacc,T1,120,0.0,30.8266932271
sacc,T1,120,3.2,29.9851190476
sacc,T1,120,6.4,30.867970660100003
sacc,T1,120,12.8,29.6296296296
sacc,T1,120,25.6,29.6966731898
sacc,T1,120,51.2,31.494140625
sacc,T1,140,0.0,25.896414342600004
sacc,T1,140,3.2,23.214285714299997
sacc,T1,140,6.4,24.3887530562
sacc,T1,140,12.8,24.639917695500003
sacc,T1,140,25.6,23.5812133072
sacc,T1,140,51.2,25.87890625
sacc,T1,160,0.0,20.3685258964
sacc,T1,160,3.2,20.3125
sacc,T1,160,6.4,19.3765281174
sacc,T1,160,12.8,19.5473251029
sacc,T1,160,25.6,18.6888454012
sacc,T1,160,51.2,21.044921875
sacc,T1,180,0.0,14.442231075699999
sacc,T1,180,3.2,16.071428571400002
sacc,T1,180,6.4,16.564792175999997
sacc,T1,180,12.8,14.866255144
sacc,T1,180,25.6,14.481409002000001
sacc,T1,180,51.2,16.89453125
sacc,T1,200,0.0,10.4581673307
sacc,T1,200,3.2,12.7838338423
sacc,T1,200,6.4,13.141809291
sacc,T1,200,12.8,12.4485596708
sacc,T1,200,25.6,11.105675146800001
sacc,T1,200,51.2,13.330078125
sacc,T1,220,0.0,8.71513944223
sacc,T1,220,3.2,10.6859286565
sacc,T1,220,6.4,9.352078239610002
sacc,T1,220,12.8,10.0823045267
sacc,T1,220,25.6,10.3718199609
sacc,T1,220,51.2,11.474609375
sacc,T1,240,0.0,8.86454183267
sacc,T1,240,3.2,8.30860534125
sacc,T1,240,6.4,7.45721271394
sacc,T1,240,12.8,8.48765432099
sacc,T1,240,25.6,9.93150684932
sacc,T1,240,51.2,9.47265625
sacc,T1,260,0.0,7.7689243027899995
sacc,T1,260,3.2,6.899109792280001
sacc,T1,260,6.4,7.3960880195600005
sacc,T1,260,12.8,7.6131687242799995
sacc,T1,260,25.6,8.121330724069999
sacc,T1,260,51.2,8.251953125
sacc,T1,280,0.0,6.47410358566
sacc,T1,280,3.2,7.34421364985
sacc,T1,280,6.4,7.21271393643
sacc,T1,280,12.8,6.27572016461
sacc,T1,280,25.6,7.4853228962800005
sacc,T1,280,51.2,8.056640625
sacc,T1,300,0.0,6.57370517928
sacc,T1,300,3.2,6.6765578635
sacc,T1,300,6.4,7.029339853300001
sacc,T1,300,12.8,6.378600823049999
sacc,T1,300,25.6,6.60469667319
sacc,T1,300,51.2,7.666015625
sacc,T2,-600,0.0,44.2103307115
sacc,T2,-600,3.2,43.07383516270001
sacc,T2,-580,0.0,42.0951655159
sacc,T2,-580,3.2,43.0756767503
sacc,T2,-560,0.0,42.1253513485
sacc,T2,-560,3.2,45.285452736
sacc,T2,-540,0.0,44.178971179799994
sacc,T2,-540,3.2,44.4708434932
sacc,T2,-520,0.0,43.3521961356
sacc,T2,-520,3.2,41.5618016122
sacc,T2,-520,6.4,44.2199954188
sacc,T2,-500,0.0,43.181519949700004
sacc,T2,-500,3.2,42.855615420599996
sacc,T2,-500,6.4,42.4625739991
sacc,T2,-480,0.0,40.9459448349
sacc,T2,-480,3.2,41.8233212614
sacc,T2,-480,6.4,45.1344918679
sacc,T2,-460,0.0,40.009303981900004
sacc,T2,-460,3.2,40.537176289
sacc,T2,-460,6.4,42.6259401288
sacc,T2,-440,0.0,43.001820278500006
sacc,T2,-440,3.2,39.4091538793
sacc,T2,-440,6.4,40.2619258987
sacc,T2,-440,12.8,41.1419903616
sacc,T2,-420,0.0,42.376644419899996
sacc,T2,-420,3.2,39.5781225037
sacc,T2,-420,6.4,41.5610024235
sacc,T2,-420,12.8,40.409673204
sacc,T2,-400,0.0,40.6714853979
sacc,T2,-400,3.2,41.2375491667
sacc,T2,-400,6.4,40.9429357455
sacc,T2,-400,12.8,38.511956208600004
sacc,T2,-380,0.0,43.2876446613
sacc,T2,-380,3.2,42.085900587
sacc,T2,-380,6.4,39.9689553885
sacc,T2,-380,12.8,39.733376133200004
sacc,T2,-360,0.0,43.361231598900005
sacc,T2,-360,3.2,42.419470869099996
sacc,T2,-360,6.4,41.580484817199995
sacc,T2,-360,12.8,40.044420197
sacc,T2,-340,0.0,39.8762267679
sacc,T2,-340,3.2,42.0788697858
sacc,T2,-340,6.4,41.9028758554
sacc,T2,-340,12.8,38.3120025573
sacc,T2,-320,0.0,40.4448454043
sacc,T2,-320,3.2,40.1513880957
sacc,T2,-320,6.4,40.4341352507
sacc,T2,-320,12.8,37.7310662817
sacc,T2,-320,25.6,37.0585131882
sacc,T2,-300,0.0,40.887184231999996
sacc,T2,-300,3.2,38.9407023685
sacc,T2,-300,6.4,41.2580403278
sacc,T2,-300,12.8,38.124344213
sacc,T2,-300,25.6,36.0738072395
sacc,T2,-280,0.0,41.1947056441
sacc,T2,-280,3.2,39.5680329223
sacc,T2,-280,6.4,38.3602705272
sacc,T2,-280,12.8,37.3681995607
sacc,T2,-280,25.6,33.881233665100005
sacc,T2,-260,0.0,41.0136327071
sacc,T2,-260,3.2,38.3195658023
sacc,T2,-260,6.4,36.4397887275
sacc,T2,-260,12.8,36.2032193868
sacc,T2,-260,25.6,31.805921065
sacc,T2,-240,0.0,41.841674062399996
sacc,T2,-240,3.2,36.0275741717
sacc,T2,-240,6.4,37.6898636484
sacc,T2,-240,12.8,36.5745098348
sacc,T2,-240,25.6,31.6444372473
sacc,T2,-220,0.0,44.249579087200004
sacc,T2,-220,3.2,37.0695086704
sacc,T2,-220,6.4,37.956359877
sacc,T2,-220,12.8,37.3919401512
sacc,T2,-220,25.6,31.3636734123
sacc,T2,-200,0.0,42.191963512600005
sacc,T2,-200,3.2,38.0726715912
sacc,T2,-200,6.4,37.0371458417
sacc,T2,-200,12.8,36.5375027453
sacc,T2,-200,25.6,31.830531566999998
sacc,T2,-200,51.2,34.278488404
sacc,T2,-180,0.0,39.9167537004
sacc,T2,-180,3.2,37.9308811524
